Logging to ./experiments/advantage_regularized_ppo/
---------------------------------
| rollout/           |          |
|    fps                      | 231          |
|    iterations               | 26           |
|    time_elapsed             | 448          |
|    total_timesteps          | 104000       |
| train/                      |              |
|    approx_kl                | 0.0037293155 |
|    clip_fraction            | 0.00719      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.469       |
|    explained_variance       | 0.00244      |
|    explained_variance_B_0   | 0.0341       |
|    explained_variance_B_1   | 0.0255       |
|    explained_variance_U_0   | 0.0334       |
|    explained_variance_U_1   | 0.0184       |
|    learning_rate            | 1e-05        |
|    loss                     | 11.8         |
|    n_updates                | 250          |
|    policy_gradient_loss     | -0.00284     |
|    policy_gradient_loss_B_0 | 6.62e-05     |
|    policy_gradient_loss_B_1 | -0.00105     |
|    policy_gradient_loss_U_0 | -0.00317     |
|    policy_gradient_loss_U_1 | -0.0049      |
|    value_loss               | 5.94         |
|    value_loss_B_0           | 4.66         |
|    value_loss_B_1           | 3.42         |
|    value_loss_U_0           | 3.08         |
|    value_loss_U_1           | 1.92         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.74860686   |
|    benefit_1                | 0.64156884   |
|    bias_estimate            | 0.10703802   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 125          |
|    ep_rew_mean_B_0          | 563          |
|    ep_rew_mean_B_1          | 455          |
|    ep_rew_mean_U_0          | 356          |
|    ep_rew_mean_U_1          | 260          |
| time/                       |              |
|    fps                      | 231          |
|    iterations               | 27           |
|    time_elapsed             | 465          |
|    total_timesteps          | 108000       |
| train/                      |              |
|    approx_kl                | 0.0011009775 |
|    clip_fraction            | 0            |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.44        |
|    explained_variance       | 0.00742      |
|    explained_variance_B_0   | 0.0227       |
|    explained_variance_B_1   | 0.026        |
|    explained_variance_U_0   | 0.0277       |
|    explained_variance_U_1   | 0.0287       |
|    learning_rate            | 1e-05        |
|    loss                     | 4.92         |
|    n_updates                | 260          |
|    policy_gradient_loss     | -0.0017      |
|    policy_gradient_loss_B_0 | 0.000193     |
|    policy_gradient_loss_B_1 | -0.000597    |
|    policy_gradient_loss_U_0 | -0.000565    |
|    policy_gradient_loss_U_1 | -0.00038     |
|    value_loss               | 5.8          |
|    value_loss_B_0           | 4.44         |
|    value_loss_B_1           | 3.45         |
|    value_loss_U_0           | 3.17         |
|    value_loss_U_1           | 1.89         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.7447785    |
|    benefit_1                | 0.65478927   |
|    bias_estimate            | 0.089989245  |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 132          |
|    ep_rew_mean_B_0          | 562          |
|    ep_rew_mean_B_1          | 455          |
|    ep_rew_mean_U_0          | 360          |
|    ep_rew_mean_U_1          | 263          |
| time/                       |              |
|    fps                      | 231          |
|    iterations               | 28           |
|    time_elapsed             | 483          |
|    total_timesteps          | 112000       |
| train/                      |              |
|    approx_kl                | 0.0016462125 |
|    clip_fraction            | 0.000298     |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.412       |
|    explained_variance       | 0.00492      |
|    explained_variance_B_0   | 0.0172       |
|    explained_variance_B_1   | 0.0353       |
|    explained_variance_U_0   | 0.0187       |
|    explained_variance_U_1   | 0.0341       |
|    learning_rate            | 1e-05        |
|    loss                     | 6.74         |
|    n_updates                | 270          |
|    policy_gradient_loss     | -0.00163     |
|    policy_gradient_loss_B_0 | -0.000404    |
|    policy_gradient_loss_B_1 | -0.000408    |
|    policy_gradient_loss_U_0 | -0.00201     |
|    policy_gradient_loss_U_1 | -0.00232     |
|    value_loss               | 5.85         |
|    value_loss_B_0           | 4.63         |
|    value_loss_B_1           | 3.67         |
|    value_loss_U_0           | 3.15         |
|    value_loss_U_1           | 2            |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.78027534   |
|    benefit_1                | 0.67050856   |
|    bias_estimate            | 0.10976678   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 138          |
|    ep_rew_mean_B_0          | 561          |
|    ep_rew_mean_B_1          | 455          |
|    ep_rew_mean_U_0          | 364          |
|    ep_rew_mean_U_1          | 265          |
| time/                       |              |
|    fps                      | 231          |
|    iterations               | 29           |
|    time_elapsed             | 501          |
|    total_timesteps          | 116000       |
| train/                      |              |
|    approx_kl                | 0.0013234334 |
|    clip_fraction            | 0.0027       |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.387       |
|    explained_variance       | 0.00859      |
|    explained_variance_B_0   | 0.0234       |
|    explained_variance_B_1   | 0.0365       |
|    explained_variance_U_0   | 0.027        |
|    explained_variance_U_1   | 0.0347       |
|    learning_rate            | 1e-05        |
|    loss                     | 6.53         |
|    n_updates                | 280          |
|    policy_gradient_loss     | -0.00231     |
|    policy_gradient_loss_B_0 | -0.000666    |
|    policy_gradient_loss_B_1 | -0.000672    |
|    policy_gradient_loss_U_0 | -0.000341    |
|    policy_gradient_loss_U_1 | -0.00039     |
|    value_loss               | 5.69         |
|    value_loss_B_0           | 4.92         |
|    value_loss_B_1           | 3.63         |
|    value_loss_U_0           | 3.41         |
|    value_loss_U_1           | 2.16         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.79547775   |
|    benefit_1                | 0.67130554   |
|    bias_estimate            | 0.12417221   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 145          |
|    ep_rew_mean_B_0          | 561          |
|    ep_rew_mean_B_1          | 455          |
|    ep_rew_mean_U_0          | 368          |
|    ep_rew_mean_U_1          | 267          |
| time/                       |              |
|    fps                      | 231          |
|    iterations               | 30           |
|    time_elapsed             | 518          |
|    total_timesteps          | 120000       |
| train/                      |              |
|    approx_kl                | 0.0018621058 |
|    clip_fraction            | 0.000471     |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.381       |
|    explained_variance       | 0.000153     |
|    explained_variance_B_0   | 0.0297       |
|    explained_variance_B_1   | 0.023        |
|    explained_variance_U_0   | 0.0312       |
|    explained_variance_U_1   | 0.0256       |
|    learning_rate            | 1e-05        |
|    loss                     | 5.79         |
|    n_updates                | 290          |
|    policy_gradient_loss     | -0.00145     |
|    policy_gradient_loss_B_0 | -0.000259    |
|    policy_gradient_loss_B_1 | 0.000293     |
|    policy_gradient_loss_U_0 | 0.000202     |
|    policy_gradient_loss_U_1 | 0.00209      |
|    value_loss               | 5.99         |
|    value_loss_B_0           | 4.64         |
|    value_loss_B_1           | 3.57         |
|    value_loss_U_0           | 3.46         |
|    value_loss_U_1           | 1.86         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.8179831     |
|    benefit_1                | 0.67876357    |
|    bias_estimate            | 0.13921952    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 151           |
|    ep_rew_mean_B_0          | 560           |
|    ep_rew_mean_B_1          | 455           |
|    ep_rew_mean_U_0          | 371           |
|    ep_rew_mean_U_1          | 269           |
| time/                       |               |
|    fps                      | 231           |
|    iterations               | 31            |
|    time_elapsed             | 536           |
|    total_timesteps          | 124000        |
| train/                      |               |
|    approx_kl                | 0.00048418372 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.373        |
|    explained_variance       | 0.00211       |
|    explained_variance_B_0   | 0.0297        |
|    explained_variance_B_1   | 0.0321        |
|    explained_variance_U_0   | 0.0285        |
|    explained_variance_U_1   | 0.0275        |
|    learning_rate            | 1e-05         |
|    loss                     | 4.43          |
|    n_updates                | 300           |
|    policy_gradient_loss     | -0.000746     |
|    policy_gradient_loss_B_0 | -9.52e-05     |
|    policy_gradient_loss_B_1 | -8.15e-05     |
|    policy_gradient_loss_U_0 | -0.000607     |
|    policy_gradient_loss_U_1 | -0.000721     |
|    value_loss               | 5.26          |
|    value_loss_B_0           | 4.72          |
|    value_loss_B_1           | 3.61          |
|    value_loss_U_0           | 3.55          |
|    value_loss_U_1           | 2.12          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8351399    |
|    benefit_1                | 0.6514435    |
|    bias_estimate            | 0.18369639   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 157          |
|    ep_rew_mean_B_0          | 559          |
|    ep_rew_mean_B_1          | 456          |
|    ep_rew_mean_U_0          | 374          |
|    ep_rew_mean_U_1          | 271          |
| time/                       |              |
|    fps                      | 231          |
|    iterations               | 32           |
|    time_elapsed             | 554          |
|    total_timesteps          | 128000       |
| train/                      |              |
|    approx_kl                | 0.0011792001 |
|    clip_fraction            | 0.00102      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.363       |
|    explained_variance       | 0.00258      |
|    explained_variance_B_0   | 0.0292       |
|    explained_variance_B_1   | 0.0274       |
|    explained_variance_U_0   | 0.0296       |
|    explained_variance_U_1   | 0.0315       |
|    learning_rate            | 1e-05        |
|    loss                     | 3.96         |
|    n_updates                | 310          |
|    policy_gradient_loss     | -0.00181     |
|    policy_gradient_loss_B_0 | -0.000506    |
|    policy_gradient_loss_B_1 | 3.71e-05     |
|    policy_gradient_loss_U_0 | -0.000761    |
|    policy_gradient_loss_U_1 | 0.000754     |
|    value_loss               | 5.91         |
|    value_loss_B_0           | 5.1          |
|    value_loss_B_1           | 3.33         |
|    value_loss_U_0           | 3.71         |
|    value_loss_U_1           | 2            |
----------------------------------------------
---------------------------------------------
| rollout/                    |             |
|    benefit_0                | 0.83321387  |
|    benefit_1                | 0.691864    |
|    bias_estimate            | 0.14134985  |
|    ep_len_mean              | 2e+03       |
|    ep_rew_mean              | 163         |
|    ep_rew_mean_B_0          | 560         |
|    ep_rew_mean_B_1          | 455         |
|    ep_rew_mean_U_0          | 378         |
|    ep_rew_mean_U_1          | 273         |
| time/                       |             |
|    fps                      | 230         |
|    iterations               | 33          |
|    time_elapsed             | 571         |
|    total_timesteps          | 132000      |
| train/                      |             |
|    approx_kl                | 0.001083618 |
|    clip_fraction            | 0           |
|    clip_range               | 0.2         |
|    entropy_loss             | -0.34       |
|    explained_variance       | 0.00453     |
|    explained_variance_B_0   | 0.0167      |
|    explained_variance_B_1   | 0.0295      |
|    explained_variance_U_0   | 0.0212      |
|    explained_variance_U_1   | 0.026       |
|    learning_rate            | 1e-05       |
|    loss                     | 10.9        |
|    n_updates                | 320         |
|    policy_gradient_loss     | -0.0017     |
|    policy_gradient_loss_B_0 | -0.000283   |
|    policy_gradient_loss_B_1 | -0.00047    |
|    policy_gradient_loss_U_0 | -0.000928   |
|    policy_gradient_loss_U_1 | -0.000935   |
|    value_loss               | 6.07        |
|    value_loss_B_0           | 4.28        |
|    value_loss_B_1           | 3.77        |
|    value_loss_U_0           | 3.23        |
|    value_loss_U_1           | 2.23        |
---------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8360644    |
|    benefit_1                | 0.712405     |
|    bias_estimate            | 0.12365937   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 169          |
|    ep_rew_mean_B_0          | 559          |
|    ep_rew_mean_B_1          | 456          |
|    ep_rew_mean_U_0          | 381          |
|    ep_rew_mean_U_1          | 275          |
| time/                       |              |
|    fps                      | 230          |
|    iterations               | 34           |
|    time_elapsed             | 589          |
|    total_timesteps          | 136000       |
| train/                      |              |
|    approx_kl                | 0.0012637686 |
|    clip_fraction            | 0.00367      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.315       |
|    explained_variance       | 0.00553      |
|    explained_variance_B_0   | 0.0311       |
|    explained_variance_B_1   | 0.0183       |
|    explained_variance_U_0   | 0.0319       |
|    explained_variance_U_1   | 0.0222       |
|    learning_rate            | 1e-05        |
|    loss                     | 39.2         |
|    n_updates                | 330          |
|    policy_gradient_loss     | -0.00185     |
|    policy_gradient_loss_B_0 | -0.000833    |
|    policy_gradient_loss_B_1 | -0.000422    |
|    policy_gradient_loss_U_0 | -0.00205     |
|    policy_gradient_loss_U_1 | -0.00222     |
|    value_loss               | 6.24         |
|    value_loss_B_0           | 5.03         |
|    value_loss_B_1           | 3.35         |
|    value_loss_U_0           | 4.16         |
|    value_loss_U_1           | 2.09         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8523341    |
|    benefit_1                | 0.74554425   |
|    bias_estimate            | 0.10678983   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 175          |
|    ep_rew_mean_B_0          | 559          |
|    ep_rew_mean_B_1          | 456          |
|    ep_rew_mean_U_0          | 385          |
|    ep_rew_mean_U_1          | 277          |
| time/                       |              |
|    fps                      | 230          |
|    iterations               | 35           |
|    time_elapsed             | 607          |
|    total_timesteps          | 140000       |
| train/                      |              |
|    approx_kl                | 0.0013146256 |
|    clip_fraction            | 0.00739      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.298       |
|    explained_variance       | 0.00683      |
|    explained_variance_B_0   | 0.0287       |
|    explained_variance_B_1   | 0.0288       |
|    explained_variance_U_0   | 0.0314       |
|    explained_variance_U_1   | 0.0323       |
|    learning_rate            | 1e-05        |
|    loss                     | 7.5          |
|    n_updates                | 340          |
|    policy_gradient_loss     | -0.00255     |
|    policy_gradient_loss_B_0 | -0.000515    |
|    policy_gradient_loss_B_1 | -0.000772    |
|    policy_gradient_loss_U_0 | -0.0016      |
|    policy_gradient_loss_U_1 | -0.00273     |
|    value_loss               | 5.81         |
|    value_loss_B_0           | 4.56         |
|    value_loss_B_1           | 3.51         |
|    value_loss_U_0           | 3.58         |
|    value_loss_U_1           | 2.23         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.85909396   |
|    benefit_1                | 0.6851156    |
|    bias_estimate            | 0.17397839   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 181          |
|    ep_rew_mean_B_0          | 559          |
|    ep_rew_mean_B_1          | 455          |
|    ep_rew_mean_U_0          | 388          |
|    ep_rew_mean_U_1          | 279          |
| time/                       |              |
|    fps                      | 230          |
|    iterations               | 36           |
|    time_elapsed             | 624          |
|    total_timesteps          | 144000       |
| train/                      |              |
|    approx_kl                | 0.0010685446 |
|    clip_fraction            | 0.00124      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.264       |
|    explained_variance       | 0.00665      |
|    explained_variance_B_0   | 0.03         |
|    explained_variance_B_1   | 0.0317       |
|    explained_variance_U_0   | 0.0308       |
|    explained_variance_U_1   | 0.0277       |
|    learning_rate            | 1e-05        |
|    loss                     | 15.8         |
|    n_updates                | 350          |
|    policy_gradient_loss     | -0.00136     |
|    policy_gradient_loss_B_0 | -0.000183    |
|    policy_gradient_loss_B_1 | -0.000263    |
|    policy_gradient_loss_U_0 | -0.000952    |
|    policy_gradient_loss_U_1 | -0.00243     |
|    value_loss               | 6.76         |
|    value_loss_B_0           | 5            |
|    value_loss_B_1           | 3.52         |
|    value_loss_U_0           | 4.26         |
|    value_loss_U_1           | 2.24         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.870902      |
|    benefit_1                | 0.6960712     |
|    bias_estimate            | 0.1748308     |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 187           |
|    ep_rew_mean_B_0          | 559           |
|    ep_rew_mean_B_1          | 456           |
|    ep_rew_mean_U_0          | 390           |
|    ep_rew_mean_U_1          | 281           |
| time/                       |               |
|    fps                      | 230           |
|    iterations               | 37            |
|    time_elapsed             | 642           |
|    total_timesteps          | 148000        |
| train/                      |               |
|    approx_kl                | 0.00078182406 |
|    clip_fraction            | 0.000694      |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.244        |
|    explained_variance       | 0.0106        |
|    explained_variance_B_0   | 0.0413        |
|    explained_variance_B_1   | 0.0285        |
|    explained_variance_U_0   | 0.044         |
|    explained_variance_U_1   | 0.0357        |
|    learning_rate            | 1e-05         |
|    loss                     | 5.71          |
|    n_updates                | 360           |
|    policy_gradient_loss     | -0.00115      |
|    policy_gradient_loss_B_0 | -0.000322     |
|    policy_gradient_loss_B_1 | 0.000414      |
|    policy_gradient_loss_U_0 | -0.000186     |
|    policy_gradient_loss_U_1 | 0.000684      |
|    value_loss               | 5.52          |
|    value_loss_B_0           | 4.86          |
|    value_loss_B_1           | 3.3           |
|    value_loss_U_0           | 3.99          |
|    value_loss_U_1           | 2.11          |
-----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.83677393    |
|    benefit_1                | 0.7433764     |
|    bias_estimate            | 0.09339756    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 192           |
|    ep_rew_mean_B_0          | 559           |
|    ep_rew_mean_B_1          | 456           |
|    ep_rew_mean_U_0          | 393           |
|    ep_rew_mean_U_1          | 282           |
| time/                       |               |
|    fps                      | 230           |
|    iterations               | 38            |
|    time_elapsed             | 660           |
|    total_timesteps          | 152000        |
| train/                      |               |
|    approx_kl                | 0.00069717446 |
|    clip_fraction            | 0.000124      |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.252        |
|    explained_variance       | 0.0064        |
|    explained_variance_B_0   | 0.0239        |
|    explained_variance_B_1   | 0.029         |
|    explained_variance_U_0   | 0.0282        |
|    explained_variance_U_1   | 0.0328        |
|    learning_rate            | 1e-05         |
|    loss                     | 5.05          |
|    n_updates                | 370           |
|    policy_gradient_loss     | -0.000591     |
|    policy_gradient_loss_B_0 | -0.000199     |
|    policy_gradient_loss_B_1 | 0.000132      |
|    policy_gradient_loss_U_0 | 0.000332      |
|    policy_gradient_loss_U_1 | 0.00039       |
|    value_loss               | 6.1           |
|    value_loss_B_0           | 4.43          |
|    value_loss_B_1           | 3.92          |
|    value_loss_U_0           | 3.68          |
|    value_loss_U_1           | 2.46          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8587607    |
|    benefit_1                | 0.7170612    |
|    bias_estimate            | 0.1416995    |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 196          |
|    ep_rew_mean_B_0          | 558          |
|    ep_rew_mean_B_1          | 456          |
|    ep_rew_mean_U_0          | 395          |
|    ep_rew_mean_U_1          | 283          |
| time/                       |              |
|    fps                      | 230          |
|    iterations               | 39           |
|    time_elapsed             | 677          |
|    total_timesteps          | 156000       |
| train/                      |              |
|    approx_kl                | 0.0017765921 |
|    clip_fraction            | 0.0033       |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.243       |
|    explained_variance       | 0.00604      |
|    explained_variance_B_0   | 0.0253       |
|    explained_variance_B_1   | 0.0241       |
|    explained_variance_U_0   | 0.0275       |
|    explained_variance_U_1   | 0.0296       |
|    learning_rate            | 1e-05        |
|    loss                     | 6.63         |
|    n_updates                | 380          |
|    policy_gradient_loss     | -0.00115     |
|    policy_gradient_loss_B_0 | -0.00111     |
|    policy_gradient_loss_B_1 | -0.00118     |
|    policy_gradient_loss_U_0 | -0.0022      |
|    policy_gradient_loss_U_1 | -0.00266     |
|    value_loss               | 5.62         |
|    value_loss_B_0           | 4.33         |
|    value_loss_B_1           | 3.27         |
|    value_loss_U_0           | 3.8          |
|    value_loss_U_1           | 2.1          |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8600554    |
|    benefit_1                | 0.75289947   |
|    bias_estimate            | 0.10715592   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 200          |
|    ep_rew_mean_B_0          | 557          |
|    ep_rew_mean_B_1          | 456          |
|    ep_rew_mean_U_0          | 397          |
|    ep_rew_mean_U_1          | 286          |
| time/                       |              |
|    fps                      | 230          |
|    iterations               | 40           |
|    time_elapsed             | 695          |
|    total_timesteps          | 160000       |
| train/                      |              |
|    approx_kl                | 0.0010282604 |
|    clip_fraction            | 0.00446      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.24        |
|    explained_variance       | 0.00834      |
|    explained_variance_B_0   | 0.0292       |
|    explained_variance_B_1   | 0.023        |
|    explained_variance_U_0   | 0.0303       |
|    explained_variance_U_1   | 0.026        |
|    learning_rate            | 1e-05        |
|    loss                     | 6.55         |
|    n_updates                | 390          |
|    policy_gradient_loss     | -0.0012      |
|    policy_gradient_loss_B_0 | -0.000725    |
|    policy_gradient_loss_B_1 | -0.000226    |
|    policy_gradient_loss_U_0 | 0.00025      |
|    policy_gradient_loss_U_1 | 0.000818     |
|    value_loss               | 7.6          |
|    value_loss_B_0           | 4.8          |
|    value_loss_B_1           | 3.72         |
|    value_loss_U_0           | 4.01         |
|    value_loss_U_1           | 2.21         |
----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8805399    |
|    benefit_1                | 0.74967927   |
|    bias_estimate            | 0.13086063   |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 205          |
|    ep_rew_mean_B_0          | 556          |
|    ep_rew_mean_B_1          | 457          |
|    ep_rew_mean_U_0          | 398          |
|    ep_rew_mean_U_1          | 287          |
| time/                       |              |
|    fps                      | 230          |
|    iterations               | 41           |
|    time_elapsed             | 713          |
|    total_timesteps          | 164000       |
| train/                      |              |
|    approx_kl                | 0.0007680535 |
|    clip_fraction            | 0.00375      |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.22        |
|    explained_variance       | 0.00844      |
|    explained_variance_B_0   | 0.0303       |
|    explained_variance_B_1   | 0.0206       |
|    explained_variance_U_0   | 0.032        |
|    explained_variance_U_1   | 0.0315       |
|    learning_rate            | 1e-05        |
|    loss                     | 8.57         |
|    n_updates                | 400          |
|    policy_gradient_loss     | -0.00178     |
|    policy_gradient_loss_B_0 | -0.000744    |
|    policy_gradient_loss_B_1 | -0.00124     |
|    policy_gradient_loss_U_0 | -0.00156     |
|    policy_gradient_loss_U_1 | -0.0014      |
|    value_loss               | 6.95         |
|    value_loss_B_0           | 4.51         |
|    value_loss_B_1           | 3.59         |
|    value_loss_U_0           | 3.89         |
|    value_loss_U_1           | 2.33         |
----------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.8720101     |
|    benefit_1                | 0.71354544    |
|    bias_estimate            | 0.15846467    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 210           |
|    ep_rew_mean_B_0          | 557           |
|    ep_rew_mean_B_1          | 457           |
|    ep_rew_mean_U_0          | 402           |
|    ep_rew_mean_U_1          | 289           |
| time/                       |               |
|    fps                      | 229           |
|    iterations               | 42            |
|    time_elapsed             | 730           |
|    total_timesteps          | 168000        |
| train/                      |               |
|    approx_kl                | 0.00036524955 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.215        |
|    explained_variance       | 0.000742      |
|    explained_variance_B_0   | 0.014         |
|    explained_variance_B_1   | 0.0258        |
|    explained_variance_U_0   | 0.0162        |
|    explained_variance_U_1   | 0.0329        |
|    learning_rate            | 1e-05         |
|    loss                     | 5.94          |
|    n_updates                | 410           |
|    policy_gradient_loss     | -0.000281     |
|    policy_gradient_loss_B_0 | -4.24e-06     |
|    policy_gradient_loss_B_1 | -0.000154     |
|    policy_gradient_loss_U_0 | -3.83e-05     |
|    policy_gradient_loss_U_1 | -0.000904     |
|    value_loss               | 6.91          |
|    value_loss_B_0           | 4.39          |
|    value_loss_B_1           | 3.88          |
|    value_loss_U_0           | 3.61          |
|    value_loss_U_1           | 2.68          |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.8704842    |
|    benefit_1                | 0.73782307   |
|    bias_estimate            | 0.1326611    |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 213          |
|    ep_rew_mean_B_0          | 556          |
|    ep_rew_mean_B_1          | 457          |
|    ep_rew_mean_U_0          | 403          |
|    ep_rew_mean_U_1          | 291          |
| time/                       |              |
|    fps                      | 229          |
|    iterations               | 43           |
|    time_elapsed             | 748          |
|    total_timesteps          | 172000       |
| train/                      |              |
|    approx_kl                | 0.0005084526 |
|    clip_fraction            | 0.000595     |
|    clip_range               | 0.2          |
|    entropy_loss             | -0.202       |
|    explained_variance       | 0.00576      |
|    explained_variance_B_0   | 0.0192       |
|    explained_variance_B_1   | 0.0266       |
|    explained_variance_U_0   | 0.0218       |
|    explained_variance_U_1   | 0.029        |
|    learning_rate            | 1e-05        |
|    loss                     | 6.06         |
|    n_updates                | 420          |
|    policy_gradient_loss     | -0.00076     |
|    policy_gradient_loss_B_0 | -0.000481    |
|    policy_gradient_loss_B_1 | 0.000119     |
|    policy_gradient_loss_U_0 | -8.18e-05    |
|    policy_gradient_loss_U_1 | 0.000302     |
|    value_loss               | 7.68         |
|    value_loss_B_0           | 4.41         |
|    value_loss_B_1           | 3.52         |
|    value_loss_U_0           | 3.67         |
|    value_loss_U_1           | 2.36         |
----------------------------------------------
---------------------------------------------
| rollout/                    |             |
|    benefit_0                | 0.8684222   |
|    benefit_1                | 0.79313457  |
|    bias_estimate            | 0.07528764  |
|    ep_len_mean              | 2e+03       |
|    ep_rew_mean              | 218         |
|    ep_rew_mean_B_0          | 557         |
|    ep_rew_mean_B_1          | 457         |
|    ep_rew_mean_U_0          | 406         |
|    ep_rew_mean_U_1          | 292         |
| time/                       |             |
|    fps                      | 229         |
|    iterations               | 44          |
|    time_elapsed             | 766         |
|    total_timesteps          | 176000      |
| train/                      |             |
|    approx_kl                | 0.000360353 |
|    clip_fraction            | 7.44e-05    |
|    clip_range               | 0.2         |
|    entropy_loss             | -0.206      |
|    explained_variance       | 0.00577     |
|    explained_variance_B_0   | 0.0291      |
|    explained_variance_B_1   | 0.0332      |
|    explained_variance_U_0   | 0.0353      |
|    explained_variance_U_1   | 0.0418      |
|    learning_rate            | 1e-05       |
|    loss                     | 22.5        |
|    n_updates                | 430         |
|    policy_gradient_loss     | -0.000708   |
|    policy_gradient_loss_B_0 | -0.00042    |
|    policy_gradient_loss_B_1 | -0.000112   |
|    policy_gradient_loss_U_0 | -0.000661   |
|    policy_gradient_loss_U_1 | 2.89e-05    |
|    value_loss               | 5.99        |
|    value_loss_B_0           | 4.68        |
|    value_loss_B_1           | 3.66        |
|    value_loss_U_0           | 3.73        |
|    value_loss_U_1           | 2.4         |
---------------------------------------------
-----------------------------------------------
| rollout/                    |               |
|    benefit_0                | 0.88166124    |
|    benefit_1                | 0.7417504     |
|    bias_estimate            | 0.13991082    |
|    ep_len_mean              | 2e+03         |
|    ep_rew_mean              | 220           |
|    ep_rew_mean_B_0          | 557           |
|    ep_rew_mean_B_1          | 457           |
|    ep_rew_mean_U_0          | 407           |
|    ep_rew_mean_U_1          | 292           |
| time/                       |               |
|    fps                      | 229           |
|    iterations               | 45            |
|    time_elapsed             | 783           |
|    total_timesteps          | 180000        |
| train/                      |               |
|    approx_kl                | 0.00010388155 |
|    clip_fraction            | 0             |
|    clip_range               | 0.2           |
|    entropy_loss             | -0.195        |
|    explained_variance       | 0.00779       |
|    explained_variance_B_0   | 0.0341        |
|    explained_variance_B_1   | 0.0273        |
|    explained_variance_U_0   | 0.04          |
|    explained_variance_U_1   | 0.0345        |
|    learning_rate            | 1e-05         |
|    loss                     | 5.46          |
|    n_updates                | 440           |
|    policy_gradient_loss     | -0.000312     |
|    policy_gradient_loss_B_0 | -0.000339     |
|    policy_gradient_loss_B_1 | -0.00017      |
|    policy_gradient_loss_U_0 | -0.000224     |
|    policy_gradient_loss_U_1 | -0.000295     |
|    value_loss               | 6.26          |
|    value_loss_B_0           | 5.12          |
|    value_loss_B_1           | 3.55          |
|    value_loss_U_0           | 4.45          |
|    value_loss_U_1           | 2.4           |
-----------------------------------------------
----------------------------------------------
| rollout/                    |              |
|    benefit_0                | 0.87242347   |
|    benefit_1                | 0.7529706    |
|    bias_estimate            | 0.119452894  |
|    ep_len_mean              | 2e+03        |
|    ep_rew_mean              | 224          |
